cell,time,death,PD1n_apoptosis,total_PD1n_apoptosis,PD1p_apoptosis,total_PD1p_apoptosis,PD1p_PDL1_death,total_PD1p_PDL1_death,total_death,experiment_id
tcell_8A,7.666666666666667,PD1n_apoptosis,1,1,0,0,0,0,1,tumor_tcell_20210709.161551/
tcell_5BB,25.416666666666668,PD1n_apoptosis,1,2,0,0,0,0,2,tumor_tcell_20210709.161551/
tcell_7AAAA,25.683333333333334,PD1n_apoptosis,1,3,0,0,0,0,3,tumor_tcell_20210709.161551/
tcell_6AABAB,28.116666666666667,PD1n_apoptosis,1,4,0,0,0,0,4,tumor_tcell_20210709.161551/
tcell_5ABBBBAAB,30.066666666666666,PD1n_apoptosis,1,5,0,0,0,0,5,tumor_tcell_20210709.161551/
tcell_6ABBB,30.75,PD1n_apoptosis,1,6,0,0,0,0,6,tumor_tcell_20210709.161551/
tcell_0AABB,31.816666666666666,PD1n_apoptosis,1,7,0,0,0,0,7,tumor_tcell_20210709.161551/
tcell_5ABBABB,32.416666666666664,PD1n_apoptosis,1,8,0,0,0,0,8,tumor_tcell_20210709.161551/
tcell_5ABBBBABAAA,32.8,PD1n_apoptosis,1,9,0,0,0,0,9,tumor_tcell_20210709.161551/
tcell_7ABBA,33.233333333333334,PD1n_apoptosis,1,10,0,0,0,0,10,tumor_tcell_20210709.161551/
tcell_6AABBAAAA,34.95,PD1p_apoptosis,0,10,1,1,0,0,11,tumor_tcell_20210709.161551/
tcell_3A,35.11666666666667,PD1p_PDL1_death,0,10,0,1,1,1,12,tumor_tcell_20210709.161551/
tcell_7AAABABBAB,36.6,PD1n_apoptosis,1,11,0,1,0,1,13,tumor_tcell_20210709.161551/
tcell_5ABAAB,37.13333333333333,PD1n_apoptosis,1,12,0,1,0,1,14,tumor_tcell_20210709.161551/
tcell_0AABABAA,37.9,PD1n_apoptosis,1,13,0,1,0,1,15,tumor_tcell_20210709.161551/
tcell_6ABBAB,40.416666666666664,PD1n_apoptosis,1,14,0,1,0,1,16,tumor_tcell_20210709.161551/
tcell_0AABABABAA,41.266666666666666,PD1p_apoptosis,0,14,1,2,0,1,17,tumor_tcell_20210709.161551/
tcell_5ABBBAA,41.88333333333333,PD1n_apoptosis,1,15,0,2,0,1,18,tumor_tcell_20210709.161551/
tcell_7AAABBAABB,42.333333333333336,PD1n_apoptosis,1,16,0,2,0,1,19,tumor_tcell_20210709.161551/
tcell_7ABBBB,43.8,PD1n_apoptosis,1,17,0,2,0,1,20,tumor_tcell_20210709.161551/
tcell_6AABBAABAA,43.95,PD1p_apoptosis,0,17,1,3,0,1,21,tumor_tcell_20210709.161551/
tcell_6BBAABBBABBA,44.516666666666666,PD1n_apoptosis,1,18,0,3,0,1,22,tumor_tcell_20210709.161551/
tcell_0AABABABBAA,45.05,PD1p_apoptosis,0,18,1,4,0,1,23,tumor_tcell_20210709.161551/
tcell_6AABBAABBA,45.55,PD1n_apoptosis,1,19,0,4,0,1,24,tumor_tcell_20210709.161551/
tcell_6AABBBAABAA,45.95,PD1p_apoptosis,0,19,1,5,0,1,25,tumor_tcell_20210709.161551/
tcell_5AAAA,46.233333333333334,PD1n_apoptosis,1,20,0,5,0,1,26,tumor_tcell_20210709.161551/
tcell_4A,46.81666666666667,PD1p_apoptosis,0,20,1,6,0,1,27,tumor_tcell_20210709.161551/
tcell_0ABABAAAB,46.96666666666667,PD1n_apoptosis,1,21,0,6,0,1,28,tumor_tcell_20210709.161551/
tcell_6AABBBBBB,47.333333333333336,PD1n_apoptosis,1,22,0,6,0,1,29,tumor_tcell_20210709.161551/
tcell_6BABBBAA,47.7,PD1n_apoptosis,1,23,0,6,0,1,30,tumor_tcell_20210709.161551/
tcell_7AAABBABABB,47.8,PD1n_apoptosis,1,24,0,6,0,1,31,tumor_tcell_20210709.161551/
tcell_7AAABABBBABA,48.03333333333333,PD1p_apoptosis,0,24,1,7,0,1,32,tumor_tcell_20210709.161551/
tcell_7AAABABABA,48.6,PD1p_PDL1_death,0,24,0,7,1,2,33,tumor_tcell_20210709.161551/
tcell_6BBAABBBAAAA,48.7,PD1p_PDL1_death,0,24,0,7,1,3,34,tumor_tcell_20210709.161551/
tcell_6AABBABAABB,49.266666666666666,PD1n_apoptosis,1,25,0,7,0,3,35,tumor_tcell_20210709.161551/
tcell_7AAABBABBBAA,49.983333333333334,PD1p_PDL1_death,0,25,0,7,1,4,36,tumor_tcell_20210709.161551/
tcell_7AAABABBBABBA,49.983333333333334,PD1p_apoptosis,0,25,1,8,0,4,37,tumor_tcell_20210709.161551/
tcell_7AAABABBBABBBAB,50.1,PD1p_apoptosis,0,25,1,9,0,4,38,tumor_tcell_20210709.161551/
tcell_7AAABABBBABBBAA,50.9,PD1p_apoptosis,0,25,1,10,0,4,39,tumor_tcell_20210709.161551/
tcell_0ABABBBBBAAA,51.18333333333333,PD1n_apoptosis,1,26,0,10,0,4,40,tumor_tcell_20210709.161551/
tcell_0ABAAAABA,51.483333333333334,PD1p_apoptosis,0,26,1,11,0,4,41,tumor_tcell_20210709.161551/
tcell_3B,51.88333333333333,PD1p_PDL1_death,0,26,0,11,1,5,42,tumor_tcell_20210709.161551/
